striker,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct
ME Bouchier,38,738,608,258,214,47,2,97,6,32.0,23.06,121.38,0.17
NR Kirton,36,737,602,246,231,64,6,48,28,30.0,24.57,122.43,0.13
SR Mukkamalla,21,737,494,198,170,39,5,72,31,18.0,40.94,149.19,0.21
JN Loftie-Eaton,42,735,534,221,196,29,3,73,30,36.0,20.42,137.64,0.19
H Thaker,39,732,600,213,282,48,0,39,33,30.0,24.4,122.0,0.12
Bilal Tahir,49,732,517,233,195,27,1,45,50,32.0,22.88,141.59,0.18
JE Ronalds,34,729,859,474,323,92,10,48,0,23.0,31.7,84.87,0.06
V Vijh,38,727,647,303,254,54,5,50,25,32.0,22.72,112.36,0.12
Azyan Farhath,32,726,866,452,341,48,2,53,11,25.0,29.04,83.83,0.07
Shaiman Anwar,26,723,563,241,197,42,4,58,33,22.0,32.86,128.42,0.16
MEK Hussey,30,721,529,177,230,47,5,58,25,18.0,40.06,136.29,0.16
WTS Porterfield,41,720,694,362,218,46,6,77,14,33.0,21.82,103.75,0.13
Shaheryar Butt,33,717,566,260,189,30,2,60,37,26.0,27.58,126.68,0.17
NPAN Sakarini,32,717,863,517,284,67,3,68,3,21.0,34.14,83.08,0.08
MAA Sanjeewani,62,717,797,368,316,60,5,62,3,44.0,16.3,89.96,0.08
MWR Stokes,30,715,586,211,236,73,3,66,10,19.0,37.63,122.01,0.13
Basil Hameed,46,715,553,214,226,54,3,36,38,30.0,23.83,129.29,0.13
R Nehonde,39,713,741,361,259,72,4,55,13,31.0,23.0,96.22,0.09
Aritra Dutta,37,712,551,295,153,31,1,71,35,35.0,20.34,129.22,0.19
RS Bopara,35,711,599,229,249,66,4,54,17,25.0,28.44,118.7,0.12
MK Pandey,32,709,562,179,279,53,3,49,19,16.0,44.31,126.16,0.12
BJ McMullen,26,709,482,185,183,33,4,58,36,23.0,30.83,147.1,0.2
Manan Ali,35,704,480,189,191,33,1,33,52,28.0,25.14,146.67,0.18
Khizer Ahmed,35,703,583,296,180,47,9,69,21,29.0,24.24,120.58,0.15
J Butler,30,701,614,277,220,46,5,65,19,24.0,29.21,114.17,0.14
KS Leverock,25,701,461,201,142,33,1,61,41,21.0,33.38,152.06,0.22
Ainna Hamizah Hashim,65,699,1006,660,256,66,4,69,3,43.0,16.26,69.48,0.07
JG Bethell,29,697,465,184,172,29,1,56,40,24.0,29.04,149.89,0.21
CJ Anderson,34,697,553,226,224,50,1,40,35,27.0,25.81,126.04,0.14
T Banton,32,696,463,169,172,35,2,64,32,27.0,25.78,150.32,0.21
SM Curran,49,696,544,191,246,45,1,40,32,34.0,20.47,127.94,0.13
N Vare,47,695,942,630,229,55,6,83,1,34.0,20.44,73.78,0.09
Aamir Kaleem,44,693,605,286,218,39,3,70,18,38.0,18.24,114.55,0.15
V Balakrishnan,39,693,633,327,185,51,4,70,19,33.0,21.0,109.48,0.14
Jaker Ali,38,692,555,230,234,40,0,36,39,25.0,27.68,124.68,0.14
MD Gunathilaka,43,691,578,283,180,47,2,73,19,42.0,16.45,119.55,0.16
P Khadka,28,690,526,254,173,31,3,74,25,25.0,27.6,131.18,0.19
AR Patel,56,690,518,202,218,50,4,48,28,35.0,19.71,133.2,0.15
K Awino,60,689,1039,648,307,74,2,57,0,44.0,15.66,66.31,0.05
Saber Zakhil,31,687,426,201,117,29,2,38,59,28.0,24.54,161.27,0.23
