player_name,innings_batted,runs_scored,balls_faced,dots,ones,twos,threes,fours,sixes,times_dismissed,batting_average,strike_rate,boundary_pct,innings_bowled,legal_balls_bowled,runs_conceded,wickets_taken,wides_bowled,noballs_bowled,dots_bowled,overs_bowled,economy_rate,bowling_average,bowling_strike_rate,batting_cluster,bowling_cluster
A Sutherland,23.0,208.0,152.0,52.0,58.0,16.0,0.0,25.0,3.0,18.0,11.56,136.84,0.18,44.0,763.0,820.0,44.0,29.0,4.0,375.0,127.17,6.45,18.64,17.34,1,3
A Suwanchonrathi,24.0,253.0,341.0,205.0,98.0,18.0,5.0,26.0,0.0,22.0,11.5,74.19,0.08,6.0,90.0,76.0,4.0,6.0,2.0,56.0,15.0,5.07,19.0,22.5,0,2
A Symonds,11.0,337.0,199.0,52.0,76.0,30.0,3.0,33.0,10.0,6.0,56.17,169.35,0.22,12.0,185.0,277.0,8.0,5.0,0.0,51.0,30.83,8.98,34.62,23.12,2,0
A Tagilala,3.0,28.0,47.0,28.0,14.0,3.0,0.0,2.0,0.0,2.0,14.0,59.57,0.04,1.0,18.0,21.0,0.0,3.0,0.0,8.0,3.0,7.0,0.0,0.0,0,-1
A Taylor,11.0,44.0,123.0,123.0,36.0,4.0,0.0,0.0,0.0,7.0,6.29,35.77,0.0,8.0,120.0,128.0,5.0,33.0,10.0,103.0,20.0,6.4,25.6,24.0,3,3
A Thorpe,5.0,18.0,38.0,26.0,12.0,1.0,0.0,1.0,0.0,4.0,4.5,47.37,0.03,13.0,226.0,230.0,15.0,34.0,10.0,163.0,37.67,6.11,15.33,15.07,3,2
A Tomar,2.0,5.0,11.0,8.0,3.0,1.0,0.0,0.0,0.0,2.0,2.5,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Tripathi,3.0,8.0,25.0,22.0,4.0,0.0,0.0,1.0,0.0,3.0,2.67,32.0,0.04,2.0,12.0,26.0,2.0,1.0,0.0,6.0,2.0,13.0,13.0,6.0,-1,-1
A Trivedi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,-1,-1
A Turay,16.0,263.0,250.0,146.0,60.0,24.0,3.0,29.0,5.0,15.0,17.53,105.2,0.14,5.0,83.0,90.0,12.0,5.0,0.0,40.0,13.83,6.51,7.5,6.92,0,1
A Turkmen,15.0,262.0,197.0,93.0,74.0,10.0,0.0,24.0,12.0,10.0,26.2,132.99,0.18,15.0,324.0,372.0,12.0,25.0,1.0,173.0,54.0,6.89,31.0,27.0,1,3
A Uwimbabazi,6.0,36.0,54.0,32.0,21.0,6.0,1.0,0.0,0.0,4.0,9.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-1
A Vaidya,12.0,183.0,204.0,131.0,50.0,23.0,1.0,21.0,0.0,11.0,16.64,89.71,0.1,15.0,225.0,194.0,14.0,50.0,7.0,201.0,37.5,5.17,13.86,16.07,0,2
A Vailoa,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,96.0,99.0,9.0,11.0,3.0,74.0,16.0,6.19,11.0,10.67,-1,2
A Vala,53.0,1233.0,1047.0,460.0,398.0,77.0,7.0,108.0,38.0,44.0,28.02,117.77,0.14,38.0,533.0,577.0,35.0,5.0,1.0,210.0,88.83,6.5,16.49,15.23,1,3
A Valthapa,1.0,5.0,12.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,41.67,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Venkatesh,15.0,260.0,241.0,103.0,102.0,22.0,2.0,24.0,2.0,11.0,23.64,107.88,0.11,11.0,194.0,213.0,17.0,5.0,0.0,90.0,32.33,6.59,12.53,11.41,1,3
A Vessik,12.0,62.0,123.0,104.0,44.0,5.0,0.0,2.0,0.0,8.0,7.75,50.41,0.02,13.0,256.0,202.0,16.0,62.0,5.0,244.0,42.67,4.73,12.62,16.0,3,2
A Vishwakarma,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A Wanjira,12.0,70.0,98.0,61.0,30.0,4.0,0.0,8.0,0.0,8.0,8.75,71.43,0.08,17.0,315.0,292.0,14.0,27.0,7.0,219.0,52.5,5.56,20.86,22.5,0,2
A Wellington,2.0,9.0,10.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,9.0,90.0,0.1,8.0,120.0,112.0,10.0,2.0,0.0,57.0,20.0,5.6,11.2,12.0,-1,2
A Wright,9.0,13.0,34.0,25.0,7.0,3.0,0.0,0.0,0.0,5.0,2.6,38.24,0.0,25.0,519.0,452.0,27.0,8.0,1.0,258.0,86.5,5.23,16.74,19.22,3,2
A Yon,12.0,181.0,159.0,85.0,54.0,9.0,1.0,16.0,7.0,11.0,16.45,113.84,0.14,7.0,120.0,133.0,10.0,7.0,0.0,54.0,20.0,6.65,13.3,12.0,0,3
A Zampa,26.0,70.0,90.0,47.0,31.0,6.0,1.0,6.0,0.0,15.0,4.67,77.78,0.07,110.0,2419.0,2984.0,143.0,37.0,2.0,883.0,403.17,7.4,20.87,16.92,0,3
A Zimunu,5.0,35.0,39.0,23.0,14.0,1.0,1.0,4.0,0.0,3.0,11.67,89.74,0.1,10.0,162.0,191.0,4.0,14.0,0.0,96.0,27.0,7.07,47.75,40.5,0,1
A le Breton,2.0,24.0,24.0,9.0,12.0,0.0,0.0,3.0,0.0,2.0,12.0,100.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A van Schoor,1.0,39.0,30.0,15.0,5.0,9.0,0.0,1.0,2.0,0.0,39.0,130.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
A van der Merwe,24.0,373.0,450.0,292.0,106.0,41.0,5.0,38.0,3.0,20.0,18.65,82.89,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1
AA Alleyne,43.0,362.0,408.0,211.0,133.0,28.0,5.0,38.0,1.0,30.0,12.07,88.73,0.1,46.0,664.0,896.0,18.0,48.0,9.0,322.0,110.67,8.1,49.78,36.89,0,1
AA Banner,4.0,15.0,27.0,21.0,3.0,0.0,0.0,3.0,0.0,4.0,3.75,55.56,0.11,1.0,12.0,17.0,0.0,0.0,0.0,1.0,2.0,8.5,0.0,0.0,-1,-1
AA Deshpande,1.0,5.0,15.0,13.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
AA Gajic,6.0,18.0,37.0,24.0,10.0,2.0,0.0,1.0,0.0,2.0,9.0,48.65,0.03,15.0,289.0,381.0,18.0,12.0,2.0,138.0,48.17,7.91,21.17,16.06,3,0
AA Hussein,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,2.0,36.0,55.0,2.0,3.0,1.0,17.0,6.0,9.17,27.5,18.0,-1,0
AA Jangoo,6.0,160.0,126.0,64.0,35.0,5.0,1.0,16.0,8.0,4.0,40.0,126.98,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
AA Jasani,6.0,185.0,152.0,69.0,47.0,21.0,0.0,15.0,6.0,5.0,37.0,121.71,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1
AA Jimoh,4.0,17.0,23.0,14.0,7.0,3.0,0.0,1.0,0.0,2.0,8.5,73.91,0.04,5.0,73.0,71.0,4.0,3.0,0.0,38.0,12.17,5.84,17.75,18.25,-1,2
